sub,ses,cond,trial,p300_mean,theta_mean
sub-01,ses-S1,0b,33,8.123756156490699e-06,1.0071665899605357e-12
sub-01,ses-S1,0b,34,-5.899043338962437e-06,1.0615666038775502e-12
sub-01,ses-S1,0b,35,9.220092680254899e-06,5.229395856222615e-12
sub-01,ses-S1,0b,36,-2.4332233988742513e-06,1.422442592800067e-12
sub-01,ses-S1,0b,37,7.5823690415199735e-06,6.327122377306036e-12
sub-01,ses-S1,0b,38,5.941467492606992e-06,7.812242074013606e-13
sub-01,ses-S1,0b,39,-9.888920118273632e-06,1.1620950615613728e-12
sub-01,ses-S1,0b,40,1.4956339058998423e-08,1.0956562820997654e-12
sub-01,ses-S1,0b,41,1.0959169300562155e-05,2.0056789826231126e-12
sub-01,ses-S1,0b,42,1.8056468910968346e-06,2.2559205896588e-12
sub-01,ses-S1,0b,43,1.3692397384423194e-05,1.7859599279604335e-12
sub-01,ses-S1,0b,44,-4.975735028529373e-06,1.6388246856805065e-12
sub-01,ses-S1,0b,45,-1.0399426534986252e-06,2.407205917288895e-12
sub-01,ses-S1,0b,46,4.743256108943154e-06,3.6112170751925614e-12
sub-01,ses-S1,0b,47,4.390678202420175e-06,1.3488655833675803e-12
sub-01,ses-S1,0b,48,1.8627980645371114e-07,1.2890223340210813e-12
sub-01,ses-S1,0b,49,-4.512288665554791e-06,1.0351185690220254e-12
sub-01,ses-S1,0b,50,7.839015112652944e-06,3.5166337067808416e-12
sub-01,ses-S1,0b,51,9.735828652800712e-06,2.456943621208754e-12
sub-01,ses-S1,0b,52,-1.2332099318046724e-05,1.2843955166114755e-12
sub-01,ses-S1,0b,53,5.048025926902526e-06,1.7367849831563591e-12
sub-01,ses-S1,0b,54,-4.128592764812002e-06,2.2186571520609186e-12
sub-01,ses-S1,0b,55,3.583771282109339e-06,1.0584118055042118e-12
sub-01,ses-S1,0b,56,7.793780643848507e-06,2.1791941926739753e-12
sub-01,ses-S1,0b,57,-3.528789672003574e-06,1.6828765734055222e-12
sub-01,ses-S1,0b,58,3.0638850047906005e-06,3.3854946260776182e-12
sub-01,ses-S1,0b,59,3.9492022587974575e-06,1.9181400194199444e-12
sub-01,ses-S1,0b,60,-2.5389180812965875e-06,2.7514303254717106e-12
sub-01,ses-S1,0b,61,-2.1343337685234813e-06,2.0318690762615782e-12
sub-01,ses-S1,0b,62,-4.851237742746781e-06,1.2294417231789355e-12
sub-01,ses-S1,0b,63,5.932032317351889e-06,1.5041307539636974e-12
sub-01,ses-S1,0b,64,-7.083488460678835e-06,2.314931423674083e-12
sub-01,ses-S1,0b,65,3.453428899351252e-06,1.900478895890475e-12
sub-01,ses-S1,0b,66,-4.1330044313343474e-07,1.6110946735298454e-12
sub-01,ses-S1,0b,67,5.497148033686612e-06,2.5628367606264502e-12
sub-01,ses-S1,0b,68,2.4660364807157005e-06,2.1325013325271626e-12
sub-01,ses-S1,0b,69,4.1210333580113554e-06,1.2367922712126228e-12
sub-01,ses-S1,0b,70,-5.215672706747038e-06,1.1829215061366282e-12
sub-01,ses-S1,0b,71,2.149031047033691e-06,1.0390628124127361e-12
sub-01,ses-S1,0b,72,1.9100530947376726e-06,1.3085442713997758e-12
sub-01,ses-S1,0b,73,1.4408015393819893e-05,1.8063902032885719e-12
sub-01,ses-S1,0b,74,-9.698283680330634e-06,3.2413044462279074e-12
sub-01,ses-S1,0b,75,-1.9613317482392277e-06,1.7775043899457864e-12
sub-01,ses-S1,0b,76,3.110948841319112e-07,1.0317478638064977e-12
sub-01,ses-S1,0b,77,-4.5186311788848235e-07,1.4683285741473566e-12
sub-01,ses-S1,0b,78,5.097580873455202e-06,2.26627465987405e-12
sub-01,ses-S1,0b,79,-4.8501059591823896e-06,2.202929387401473e-12
sub-01,ses-S1,0b,80,-6.317888556276093e-06,5.743135152782523e-12
sub-01,ses-S1,0b,81,7.790290551690737e-06,1.6305700167522914e-12
sub-01,ses-S1,0b,82,-2.7056171477839138e-06,3.914721079321615e-12
sub-01,ses-S1,0b,83,9.336829029177515e-06,2.2873327354367717e-12
sub-01,ses-S1,0b,84,-3.282239296051311e-06,4.0192727046371766e-12
sub-01,ses-S1,0b,85,1.2925391449608208e-05,2.629804382792934e-12
sub-01,ses-S1,0b,86,-3.2963384010248655e-06,4.910188391485291e-12
sub-01,ses-S1,0b,87,5.115774865101487e-07,1.0756295289468748e-12
sub-01,ses-S1,0b,88,6.261841660368751e-06,1.0952309426711276e-12
sub-01,ses-S1,0b,89,-4.720289666874545e-06,1.058676504657177e-12
sub-01,ses-S1,0b,90,-3.4558799616679794e-06,1.765665033865189e-12
sub-01,ses-S1,0b,91,2.1923155112088345e-06,2.7076122511270082e-12
sub-01,ses-S1,0b,92,1.9750753984565523e-06,8.623993168803975e-13
sub-01,ses-S1,0b,93,5.2947674802895534e-06,6.49894182472759e-13
sub-01,ses-S1,0b,94,-1.3922368724185447e-06,1.0751824897780795e-12
sub-01,ses-S1,0b,95,5.807414889812606e-06,1.953383433961834e-12
sub-01,ses-S1,0b,96,1.1101559358428678e-05,1.4502090882942182e-12
sub-01,ses-S1,0b,97,-3.3209020117152664e-06,1.9548184275926024e-12
sub-01,ses-S1,0b,98,3.1083691091015887e-06,6.028438774347847e-13
sub-01,ses-S1,0b,99,4.7043745467843977e-07,1.6352198876538028e-12
sub-01,ses-S1,0b,100,5.174328997755579e-06,1.934411100211099e-12
sub-01,ses-S1,0b,101,9.09558506712872e-06,2.975776004986096e-12
sub-01,ses-S1,0b,102,2.2326630062427504e-06,1.7858204407782006e-12
sub-01,ses-S1,0b,103,4.9906999914444035e-06,1.1311477350601431e-12
sub-01,ses-S1,0b,104,9.273807487300265e-06,7.769992750343374e-13
sub-01,ses-S1,0b,105,-6.557628544619391e-06,2.2391863080275764e-12
sub-01,ses-S1,0b,106,4.103938809990531e-06,3.073257345616134e-12
sub-01,ses-S1,0b,107,2.2663412121627568e-06,2.0148665932696105e-12
sub-01,ses-S1,0b,108,-4.4463323115582406e-06,1.7543573745869763e-12
sub-01,ses-S1,0b,109,2.7283204918308407e-06,2.1343188309647807e-12
sub-01,ses-S1,0b,110,3.6724927483538937e-06,5.600289183605768e-13
sub-01,ses-S1,0b,111,1.2909536491605182e-05,1.9982902740598972e-12
sub-01,ses-S1,0b,112,-6.375760309711224e-06,2.455066255781172e-12
sub-01,ses-S1,0b,113,2.618089393677339e-06,7.319003066893579e-13
sub-01,ses-S1,0b,114,1.9101846078847828e-06,8.470397246147683e-13
sub-01,ses-S1,0b,115,9.985404911248205e-07,2.559384068085424e-12
sub-01,ses-S1,0b,116,-2.1437474988481004e-07,1.5174834359278504e-12
sub-01,ses-S1,0b,117,2.016677926363133e-06,1.2661182424561094e-12
sub-01,ses-S1,0b,118,7.205100912452084e-06,4.4109374073173915e-12
sub-01,ses-S1,0b,119,6.163742045483516e-06,1.4965203935337767e-12
sub-01,ses-S1,0b,120,-5.409887216193433e-06,2.032002268143573e-12
sub-01,ses-S1,0b,121,4.101369865961373e-07,9.721986125799466e-13
sub-01,ses-S1,0b,122,2.9655094471248182e-06,1.605521801903827e-12
sub-01,ses-S1,0b,123,3.888340815172132e-06,2.975660611273549e-12
sub-01,ses-S1,0b,124,4.853615592589739e-07,1.4545666762380784e-12
sub-01,ses-S1,0b,125,-7.624055363490007e-06,1.7821822749151949e-12
sub-01,ses-S1,0b,126,5.775443232270481e-06,2.1612172427524777e-12
sub-01,ses-S1,0b,127,6.87367302513715e-06,2.1013477010555265e-12
sub-01,ses-S1,0b,128,4.000684847877426e-10,1.1237618634093194e-12
sub-01,ses-S1,0b,129,-3.0619384838280944e-06,1.313127221852425e-12
sub-01,ses-S1,0b,130,6.386108477422746e-06,2.8144003463182276e-12
sub-01,ses-S1,0b,131,-8.937954841581417e-06,2.993885431851631e-12
sub-01,ses-S1,0b,132,-8.610709964002766e-07,1.958197006202397e-12
sub-01,ses-S1,0b,133,6.440567895219859e-06,1.203389623598433e-12
sub-01,ses-S1,0b,134,-7.043672808290334e-07,8.618287219088912e-13
sub-01,ses-S1,0b,135,2.3147948929066784e-06,3.092569798480208e-12
sub-01,ses-S1,0b,136,3.6410068923822575e-06,1.1299627003653758e-12
sub-01,ses-S1,0b,137,-7.501177659303861e-06,2.9649537239616928e-12
sub-01,ses-S1,0b,138,-4.716286513562277e-07,2.689153877168573e-12
sub-01,ses-S1,0b,139,1.8137848763498317e-06,1.0973935545704611e-12
sub-01,ses-S1,0b,140,1.7335343907418167e-07,1.529309200447086e-12
sub-01,ses-S1,0b,141,6.3703493016458e-06,1.5085251438096643e-12
sub-01,ses-S1,0b,142,-8.166884772421526e-07,4.327747530638793e-12
sub-01,ses-S1,0b,143,-1.4908803089709695e-06,1.3892820459286359e-12
sub-01,ses-S1,0b,144,-1.3784384185837316e-07,1.9523196666209663e-12
sub-01,ses-S1,0b,145,-2.2123078151310403e-06,1.825187420223991e-12
sub-01,ses-S1,0b,146,7.541787600090835e-06,1.2535556369716395e-12
sub-01,ses-S1,0b,147,-3.896898576610392e-06,3.415147492882293e-12
sub-01,ses-S1,0b,148,6.970381791258865e-07,2.173055256650091e-12
sub-01,ses-S1,0b,149,-1.449974140790983e-06,1.0328024085486131e-12
sub-01,ses-S1,0b,150,4.866017562619305e-07,8.777339424717877e-13
sub-01,ses-S1,0b,151,-3.7159845884874802e-06,1.6855511158638918e-12
sub-01,ses-S1,0b,152,2.1790256242259113e-06,3.7469159714670374e-13
sub-01,ses-S1,0b,153,-1.0858804091195274e-06,8.890186374383934e-13
sub-01,ses-S1,0b,154,5.4523219183531445e-06,1.5358452065051562e-12
sub-01,ses-S1,0b,155,-1.0185297015652263e-05,2.0785746062087905e-12
sub-01,ses-S1,0b,156,-2.6047705044347487e-06,1.2707086998662225e-12
sub-01,ses-S1,0b,157,-7.683451823902176e-06,3.5759264189642118e-12
sub-01,ses-S1,0b,158,-5.480413000575321e-06,2.490777557731511e-12
sub-01,ses-S1,0b,159,-7.279716651503381e-06,1.952508893061854e-12
sub-01,ses-S1,0b,160,4.623021009535979e-06,6.73743103985357e-13
sub-01,ses-S1,0b,161,-2.2403665256072834e-06,1.8830542516373275e-12
sub-01,ses-S1,0b,162,-1.3198941664235055e-06,9.504921908372422e-13
sub-01,ses-S1,0b,163,4.8797113009861394e-06,9.871905274636448e-13
sub-01,ses-S1,0b,164,1.9452074907043035e-06,1.0096335541694605e-12
sub-01,ses-S1,0b,165,2.1725436800571824e-06,4.293687084552788e-13
sub-01,ses-S1,0b,166,6.497218939587308e-06,1.7039453941613147e-12
sub-01,ses-S1,0b,167,-8.882803610551745e-06,1.9739570360783864e-12
sub-01,ses-S1,0b,168,-5.003507555760103e-06,1.5010860298537064e-12
sub-01,ses-S1,0b,169,-3.5378830230402006e-06,2.617852575396531e-12
sub-01,ses-S1,0b,170,6.503363324989691e-06,1.8272579886092424e-12
sub-01,ses-S1,0b,171,-1.447817446230063e-05,2.204063359898043e-12
sub-01,ses-S1,0b,172,6.110801464637587e-06,6.3953224041168775e-12
sub-01,ses-S1,0b,173,9.917854608740022e-06,1.998177953508974e-12
sub-01,ses-S1,0b,174,-3.52246444253791e-06,2.2088779343191595e-12
sub-01,ses-S1,0b,175,8.494839358186183e-07,9.188668504024283e-13
sub-01,ses-S1,0b,176,7.228670547423868e-07,1.7055617926426672e-12
sub-01,ses-S1,0b,177,-4.359013730325802e-06,1.6815306512013265e-12
sub-01,ses-S1,0b,178,-6.0493894505095595e-06,2.224116711696423e-12
sub-01,ses-S1,0b,179,-6.586027379650196e-07,5.676823088450129e-13
sub-01,ses-S1,0b,180,9.306739446723476e-06,1.2052930447514424e-12
sub-01,ses-S1,0b,181,-4.25569269848623e-06,2.120281760365791e-12
sub-01,ses-S1,0b,182,1.9606117039546605e-06,3.490141929689398e-12
sub-01,ses-S1,0b,183,4.4783891245293415e-06,2.770180110138657e-12
sub-01,ses-S1,0b,184,1.0942876213863718e-05,5.896997549115333e-13
sub-01,ses-S1,0b,185,-3.18092762838854e-06,1.151725933493076e-12
sub-01,ses-S1,0b,186,-1.821403608040738e-06,7.505685384190909e-13
sub-01,ses-S1,0b,187,4.104692494907063e-06,1.4413474043481743e-12
sub-01,ses-S1,0b,188,-3.5970534659834763e-06,9.896592014480606e-13
sub-01,ses-S1,0b,189,-7.757207028338483e-06,1.6198383628264065e-12
sub-01,ses-S1,0b,190,-5.371931233569587e-06,1.6198247608703558e-12
sub-01,ses-S1,0b,191,4.092976321447343e-06,2.274327516267212e-12
sub-01,ses-S1,0b,192,2.7323915841266097e-06,1.493495472215812e-12
sub-01,ses-S1,0b,193,-3.3952657532806136e-06,2.8078502896320945e-12
sub-01,ses-S1,0b,194,1.3115218474165343e-07,2.395793143076184e-12
sub-01,ses-S1,0b,195,2.312911061662659e-06,2.8054189441527246e-12
sub-01,ses-S1,0b,196,-1.1859547847311765e-06,7.991333583282043e-13
sub-01,ses-S1,0b,197,2.533034719656286e-06,1.5892420366212187e-12
sub-01,ses-S1,0b,198,6.6491472333584255e-06,1.1596913925942686e-12
sub-01,ses-S1,0b,199,3.0875536398433542e-06,9.904139382664435e-13
sub-01,ses-S1,0b,200,3.360362398992955e-06,1.1616104664263138e-12
sub-01,ses-S1,0b,201,5.203351549391976e-06,1.9067876455307396e-12
sub-01,ses-S1,1b,1,3.5210579346675633e-06,1.2138013239433532e-12
sub-01,ses-S1,1b,2,9.782872715290334e-06,1.697425535778084e-12
sub-01,ses-S1,1b,3,6.2114137738420315e-06,2.4779507953193872e-12
sub-01,ses-S1,1b,4,8.570820259823336e-06,1.329389765403953e-12
sub-01,ses-S1,1b,5,3.908471045125254e-06,1.0524030490392915e-12
sub-01,ses-S1,1b,6,-6.992173020705456e-06,2.549899611628115e-12
sub-01,ses-S1,1b,7,-1.3915028712718434e-06,1.4817184093547798e-12
sub-01,ses-S1,1b,8,-1.5139547276397437e-06,1.0518712602489408e-12
sub-01,ses-S1,1b,9,9.124318623405178e-06,4.0106833045546487e-13
sub-01,ses-S1,1b,10,-1.988644329596482e-06,1.889181994054493e-12
sub-01,ses-S1,1b,11,1.7032879541517072e-06,1.2553842773289025e-12
sub-01,ses-S1,1b,12,4.3239720318541145e-06,1.2223479269206562e-12
sub-01,ses-S1,1b,13,-9.720730665696417e-06,3.0571919696634452e-12
sub-01,ses-S1,1b,14,4.064988331491073e-06,1.405168193695723e-12
sub-01,ses-S1,1b,15,6.980392923583295e-06,1.085344456052207e-12
sub-01,ses-S1,1b,16,-1.202390206495518e-05,2.629187553582793e-12
sub-01,ses-S1,1b,17,-4.955476849170785e-06,1.2583665679103063e-12
sub-01,ses-S1,1b,18,5.219057342680819e-06,1.944104051539668e-12
sub-01,ses-S1,1b,19,3.169429660355306e-07,2.334683729820108e-12
sub-01,ses-S1,1b,20,4.007512192267457e-06,1.6171944415957786e-12
sub-01,ses-S1,1b,21,1.3892847176881208e-05,1.6729974067811176e-12
sub-01,ses-S1,1b,22,-2.4329662268999275e-06,2.775895818068075e-12
sub-01,ses-S1,1b,23,-2.33236147655563e-06,1.4730501548510206e-12
sub-01,ses-S1,1b,24,5.31388885834452e-06,1.5394714858347394e-12
sub-01,ses-S1,1b,25,7.283881711464292e-06,5.515292458959895e-13
sub-01,ses-S1,1b,26,-6.1807346020221e-06,1.6331899967520956e-12
sub-01,ses-S1,1b,27,-2.111539706696228e-06,1.3348603182445773e-12
sub-01,ses-S1,1b,28,2.0287115313105127e-06,8.71684664346699e-13
sub-01,ses-S1,1b,29,2.661929498753073e-06,1.987364323462962e-12
sub-01,ses-S1,1b,30,5.780113454683404e-06,8.365589811604579e-13
sub-01,ses-S1,1b,31,6.479935442434998e-06,3.3285411814076607e-12
sub-01,ses-S1,1b,32,-3.4140364380214093e-06,1.7600560877870761e-12
sub-01,ses-S1,1b,33,1.5401171704843797e-06,1.3732202078120587e-12
sub-01,ses-S1,1b,34,-2.7425570972478045e-06,1.162645259653593e-12
sub-01,ses-S1,1b,35,3.4198078794189613e-06,3.273710686875124e-13
sub-01,ses-S1,1b,36,6.733741519122741e-06,2.372785986401339e-12
sub-01,ses-S1,1b,37,-3.2827746321100275e-06,3.0702533164182856e-12
sub-01,ses-S1,1b,38,6.615090306913977e-07,1.0698067380500204e-12
sub-01,ses-S1,1b,39,1.5794875867503556e-08,5.716151978393837e-13
sub-01,ses-S1,1b,40,-2.427423783093493e-07,8.79455738219345e-13
sub-01,ses-S1,1b,41,9.692089925021639e-07,1.393126118836382e-12
sub-01,ses-S1,1b,42,7.158935010624939e-06,1.1374175178763904e-12
sub-01,ses-S1,1b,43,3.357906445300848e-06,2.0968666090907995e-12
sub-01,ses-S1,1b,44,5.913260681834864e-06,2.2933911060276377e-12
sub-01,ses-S1,1b,45,6.752608770560837e-06,1.9420125741278737e-12
sub-01,ses-S1,1b,46,-1.3017718496778447e-05,3.2144714467211487e-12
sub-01,ses-S1,1b,47,5.735094411676379e-06,1.6545032774594244e-12
sub-01,ses-S1,1b,48,-7.99810066382285e-06,2.089902111213738e-12
sub-01,ses-S1,1b,49,1.5160505275015196e-05,7.960854064970618e-13
sub-01,ses-S1,1b,50,-2.053873125421797e-06,1.1771534794901032e-12
sub-01,ses-S1,1b,51,1.1590747288912145e-05,2.3898804321393807e-12
sub-01,ses-S1,1b,52,-1.8425460779483767e-06,1.7421029112172873e-12
sub-01,ses-S1,1b,53,5.2987986906776595e-06,1.334692002201107e-12
sub-01,ses-S1,1b,54,7.844106469734042e-06,1.703951404193225e-12
sub-01,ses-S1,1b,55,-1.653715865350589e-05,2.5961184317487e-12
sub-01,ses-S1,1b,56,1.30415740866698e-06,1.6830464112027069e-12
sub-01,ses-S1,1b,57,5.932744451086881e-07,7.79810906700296e-13
sub-01,ses-S1,1b,58,-9.157649756762315e-07,8.803838106509363e-13
sub-01,ses-S1,1b,59,4.442016893010394e-06,1.2695467686140113e-12
sub-01,ses-S1,1b,60,-8.851622960192028e-06,2.007536085628021e-12
sub-01,ses-S1,1b,61,-1.2505882610299371e-06,1.301242988375966e-12
sub-01,ses-S1,1b,62,-1.723396500679726e-06,2.6887009546625128e-12
sub-01,ses-S1,1b,63,2.753577482793557e-06,9.633097311103916e-13
sub-01,ses-S1,1b,64,2.4961265438103814e-06,1.4086644283904486e-12
sub-01,ses-S1,1b,65,9.335034158249093e-06,2.0300140215019183e-12
sub-01,ses-S1,1b,66,7.372318098503967e-06,3.5628866667130317e-12
sub-01,ses-S1,1b,67,2.7686123845932594e-06,1.1808149951488349e-12
sub-01,ses-S1,1b,68,1.9687373366656517e-06,2.0647023404591046e-12
sub-01,ses-S1,1b,69,4.0787389414779385e-06,1.6108147321813335e-12
sub-01,ses-S1,1b,70,3.908407218820411e-06,1.893936147519113e-12
sub-01,ses-S1,1b,71,8.30316305983911e-06,1.6882832579066111e-12
sub-01,ses-S1,1b,72,8.336009995830065e-08,1.5869781098047583e-12
sub-01,ses-S1,1b,73,1.0218754774483028e-06,1.5086042493269645e-12
sub-01,ses-S1,1b,74,8.71710229948431e-06,1.459699556190036e-12
sub-01,ses-S1,1b,75,1.388055268952599e-05,1.4170246776636985e-12
sub-01,ses-S1,1b,76,-6.062907257924334e-07,2.8425983993667144e-12
sub-01,ses-S1,1b,77,3.889149579662429e-06,2.1595667185844805e-12
sub-01,ses-S1,1b,78,1.3716782720010646e-05,1.864468546115099e-12
sub-01,ses-S1,1b,79,-1.4370435839307991e-05,1.6382412129186873e-12
sub-01,ses-S1,1b,80,3.5141732092786695e-06,2.4973896774927164e-12
sub-01,ses-S1,1b,81,2.824757281467627e-06,1.7334670653415613e-12
sub-01,ses-S1,1b,82,4.010804010636447e-06,1.7607820156927147e-12
sub-01,ses-S1,1b,83,-9.213903601122672e-06,1.2749169028725259e-12
sub-01,ses-S1,1b,84,-3.029282964178104e-06,9.931776472096105e-13
sub-01,ses-S1,1b,85,1.0374459858714462e-05,1.644833685016072e-12
sub-01,ses-S1,1b,86,-4.45588474727342e-06,2.8509317233409976e-12
sub-01,ses-S1,1b,87,-1.7535029987190332e-06,1.2750039123765358e-12
sub-01,ses-S1,1b,88,-6.461345018707394e-06,2.3266412806176863e-12
sub-01,ses-S1,1b,89,-1.9112989300649214e-07,6.910094152546878e-13
sub-01,ses-S1,1b,90,7.969660771872048e-06,5.894095774923472e-13
sub-01,ses-S1,1b,91,1.0644063498882781e-05,3.1844488160074634e-12
sub-01,ses-S1,1b,92,1.1672051239382967e-05,1.2161640228515838e-12
sub-01,ses-S1,1b,93,3.217205901624053e-06,1.1194258056627896e-12
sub-01,ses-S1,1b,94,-2.076831329222393e-06,1.3595432302199163e-12
sub-01,ses-S1,1b,95,3.5079109345177277e-06,6.324157366280035e-13
sub-01,ses-S1,1b,96,7.871231984964567e-07,1.2333856950185818e-12
sub-01,ses-S1,1b,97,1.76890402897501e-06,1.338005337326105e-12
sub-01,ses-S1,1b,98,2.7671175635001344e-06,1.6296662994589792e-12
sub-01,ses-S1,1b,99,-2.374260441513728e-06,2.3330906059753363e-12
sub-01,ses-S1,1b,100,2.409265476942871e-06,1.1357311385137414e-12
sub-01,ses-S1,1b,101,-3.318718063167704e-07,2.317369547635596e-12
sub-01,ses-S1,1b,102,-5.24190957208926e-06,1.7923012338972838e-12
sub-01,ses-S1,1b,103,1.0074782028991225e-05,2.8879322877523385e-12
sub-01,ses-S1,1b,104,-8.389764342334771e-06,2.6416028690690068e-12
sub-01,ses-S1,1b,105,1.002280901924062e-05,1.8149212147540597e-12
sub-01,ses-S1,1b,106,-1.2135298843206338e-06,3.0931451509687465e-12
sub-01,ses-S1,1b,107,5.720287470779337e-07,1.4234551320029764e-12
sub-01,ses-S1,1b,108,-4.226635927852607e-06,3.402499560110011e-12
sub-01,ses-S1,1b,109,6.527635753703544e-08,4.443064953490826e-12
sub-01,ses-S1,1b,110,3.900562921877128e-06,4.9991752917272215e-12
sub-01,ses-S1,1b,111,-2.4339092708980727e-06,3.2897264940411714e-12
sub-01,ses-S1,1b,112,-5.276606961189576e-07,1.5395171814828835e-12
sub-01,ses-S1,1b,113,1.9278291617927283e-05,7.194638005380417e-13
sub-01,ses-S1,1b,114,-1.1881287149349048e-05,2.2844984820573823e-12
sub-01,ses-S1,1b,115,3.404934194173971e-06,1.5708849513009747e-12
sub-01,ses-S1,1b,116,-1.361693899768241e-06,1.2882396434776738e-12
sub-01,ses-S1,1b,117,-1.1723943913548283e-06,2.607101556134766e-12
sub-01,ses-S1,1b,118,-9.568180599845158e-06,1.599293999299178e-12
sub-01,ses-S1,1b,119,1.0111853224720167e-05,2.221532169568768e-12
sub-01,ses-S1,1b,120,6.607087215482692e-06,1.111646538982809e-12
sub-01,ses-S1,1b,121,-2.4098400035579183e-06,1.4943102444678892e-12
sub-01,ses-S1,1b,122,-1.8463118987811143e-06,7.833544322712018e-13
sub-01,ses-S1,1b,123,3.6787637473127065e-06,1.325629750715824e-12
sub-01,ses-S1,1b,124,1.7972488090529879e-06,4.1831838232877835e-12
sub-01,ses-S1,1b,125,-7.44558487974513e-07,1.931967585706233e-12
sub-01,ses-S1,1b,126,1.266004429538199e-05,7.301563896789056e-13
sub-01,ses-S1,1b,127,-3.6936101197116746e-06,1.579518633122778e-12
sub-01,ses-S1,1b,128,4.539436276819619e-06,2.6557774492559005e-12
sub-01,ses-S1,1b,129,9.393556739336436e-06,2.021916581777939e-12
sub-01,ses-S1,1b,130,-3.1236179525681287e-06,1.3450049413891793e-12
sub-01,ses-S1,1b,131,7.0910627299321695e-06,2.0484862829991776e-12
sub-01,ses-S1,1b,132,-1.1777243906631035e-06,1.4978732734740748e-12
sub-01,ses-S1,1b,133,7.165861060868115e-06,1.3694196388887692e-12
sub-01,ses-S1,1b,134,5.3804696519376304e-06,2.647107208079376e-12
sub-01,ses-S1,1b,135,-2.488608908903715e-06,3.9532005600577546e-12
sub-01,ses-S1,1b,136,9.406733049583125e-06,1.5338630150352411e-12
sub-01,ses-S1,1b,137,-1.0742825161240143e-05,2.7628130399882067e-12
sub-01,ses-S1,1b,138,7.345441225781032e-06,3.4965221026300387e-12
sub-01,ses-S1,1b,139,7.200869838580145e-06,1.9220971751653303e-12
sub-01,ses-S1,1b,140,-2.520466334176055e-06,1.8375156735105074e-12
sub-01,ses-S1,1b,141,6.372171067519875e-07,1.184950390348379e-12
sub-01,ses-S1,1b,142,4.586467778082101e-06,1.7820166592182502e-12
sub-01,ses-S1,1b,143,2.5769254853885703e-06,2.9163458092176696e-12
sub-01,ses-S1,1b,144,-6.693328849154477e-06,2.9293059732082754e-12
sub-01,ses-S1,1b,145,-2.865509373195658e-06,4.026180421517036e-12
sub-01,ses-S1,1b,146,4.435659644303233e-06,7.787083535994732e-13
sub-01,ses-S1,1b,147,-8.558008339746715e-06,2.0913999627973982e-12
sub-01,ses-S1,1b,148,5.9643928852016925e-06,2.0478429699409436e-12
sub-01,ses-S1,1b,149,-5.773556746459632e-06,2.491162839805154e-12
sub-01,ses-S1,1b,150,2.0461425151899488e-06,1.3623610470797819e-12
sub-01,ses-S1,1b,151,-9.199227945709911e-06,3.65051374824993e-12
sub-01,ses-S1,1b,152,-2.720439844505752e-06,1.3308784787325372e-12
sub-01,ses-S1,1b,153,2.648843684234389e-06,1.5994664536588212e-12
